ISIN,Company_Name,BSE_Scrip_Code,NSE_Symbol
INE089E01025,KDJ HOLIDAYSCAPES AND RESORTS ,530701,
INE090Y01013,CADSYS (INDIA) LIMITED ,206071,CADSYS
INE096A01010,UTIQUE ENTERPRISES LIMITED    ,500014,
INE09KD01013,Atam Valves Limited    ,543236,
INE0A1E01018,SIDDHIKA COATINGS LIMITED     ,207819,SIDDHIKA
INE0B9A01018,BONLON INDUSTRIES LIMITED     ,543211,
INE0BLY01015,Shine Fashions (India) Limited,543244,
INE0C4I01011,SM Auto Stamping Limited      ,543065,
INE0CHO01012,Archidply Decor Limited,543231,ADL
INE0CPQ01010,Nirmitee Robotics India Limite,543194,
INE0EEJ01015,BODHI TREE MULTIMEDIA LTD     ,207446,BTML
INE0G2G01015,WALPAR NUTRITIONS LIMITED     ,208105,WALPAR
INE0GD201014,Samor Reality Limited  ,543376,
INE0GN101014,D K ENTERPRISES GLOBAL L      ,208318,DKEGL
INE0I3Y01014,BOMBAY METRICS S C LTD ,208301,BMETRICS
INE100C01024,Meyer Apparel Limited  ,531613,
INE100D01014,W.S.INDUSTRIES (INDIA) LTD.   ,504220,
INE102E01018,SS ORGANICS LTD.,524636,
INE103F01013,SPML INDIA LIMITED     ,206698,
INE105C01023,3P LAND HOLDINGS LTD.  ,516092,3PLAND
INE105I01020,SEL MANUFACTURING COMPANY LTD.,532886,SELMC
INE106C01013,ZENITH FIBRES LTD.     ,514266,
INE110Q01015,S&T CORPORATION LTD.   ,514197,
INE115G01015,TIRUPATI FOAM LIMITED  ,540904,
INE117D01018,PHARMAIDS PHARMACEUTICALS LTD.,524572,
INE117S01016,Octavius Plantations Limited  ,542938,
INE117Z01011,NARMADA AGROBASE LIMITED      ,202825,NARMADA
INE121D01036,SYSCHEM (INDIA) LTD.   ,531173,
INE122D01026,ADITYA SPINNERS LTD.   ,521141,
INE123D01016,ALLIANCE INTEGRATED METALIKS L,534064,
INE123E01014,INFORMED TECHNOLOGIES INDIA LT,504810,
INE130F01016,KEY CORP LTD.   ,507948,
INE131N01018,JOINTECA EDUCATION SOLUTIONS L,534659,
INE134U01017,SOLID CONTAINERS LTD.  ,502460,
INE135H01029,CNI RESEARCH LTD.      ,512018,
INE137B01010,INTERTEC TECHNOLOGIES LTD     ,202494,
INE138B01018,DUROPACK LTD.   ,526355,
INE140B01014,RCI INDUSTRIES & TECHNOLOGIES ,537254,
INE141C01028,NHC FOODS LTD.  ,517554,
INE141D01018,TAMILNADU TELECOMMUNICATIONS L,523419,TNTELE
INE142K01011,LYPSA GEMS & JEWELLERY LTD    ,534532,LYPSAGEMS
INE142N01023,UNNO INDUSTRIES LTD.   ,519273,
INE143H01015,KSK ENERGY VENTURES LTD.      ,532997,KSK
INE146C01019,White Organic Agro Limited    ,513713,
INE150D01019,MAURIA UDYOG LIMITED   ,539219,
INE155R01018,Jet Infraventure Limited      ,538794,
INE158G01015,REMI EDELSTAHL TUBULARS LIMITE,513043,
INE159E01026,MM RUBBER COMPANY LTD. ,509196,
INE159N01027,VIJI FINANCE LTD,537820,VIJIFIN
INE160F01013,PH CAPITAL LTD. ,500143,
INE160O01031,Mukta Agriculture Limited     ,535204,
INE161E01014,METAL COATINGS (INDIA) LTD.   ,531810,
INE167B01025,ACI INFOCOM LTD.,517356,
INE167F01018,HARI GOVIND INTERNATIONAL LTD.,531971,
INE167H01014,SIMPLEX REALTY LTD.    ,503229,
INE168U01015,KUMAR AUTOCAST LIMITED ,200886,
INE170U01011,SURAJ INDUSTRIES LTD.  ,526211,
INE172D01021,CAPITAL TRADE LINKS LTD,538476,
INE172H01014,RADHA MADHAV CORPORATION LTD. ,532692,RMCL
INE175C01018,SPENTA INTERNATIONAL LTD.     ,526161,
INE176C01016,SATHAVAHANA ISPAT LTD. ,526093,SATHAISPAT
INE176N01021,INTELLIVATE CAPITAL ADVISORS L,534732,
INE178T01024,Advik Capital Limited  ,539773,
INE178W01010,VISISTH CHAY VYAPAR LTD,204301,
INE182Z01015,S S INFRA DEVP CONSL LTD      ,203852,SSINFRA
INE184E01024,UTL INDUSTRIES LIMITED ,500426,
INE186R01013,OSIAJEE TEXFAB LIMITED ,540198,
INE191N01012,Alexander Stamps And Coin Limi,511463,
INE196B01016,SHIRPUR GOLD REFINERY LTD.    ,512289,SHIRPUR-G
INE196J01019,OCL IRON AND STEEL LTD.,533008,OISL
INE197C01012,AXEL POLYMERS LTD.     ,513642,
INE199D01016,MARTIN BURN LTD.,523566,
INE199P01028,Gretex Corporate Services Limi,543324,
INE203D01016,VICTORIA MILLS LTD.    ,503349,
INE203N01015,SHYAMKAMAL INVESTMENTS LTD.   ,505515,
INE203Y01012,SILLY MONKS ENTERTAIN LTD     ,205181,SILLYMONKS
INE204D01022,VENLON ENTERPRISES LTD.,524038,
INE204N01013,LOOKS HEALTH SERVICES LIMITED ,534422,
INE204P01026,GOLD LINE INTERNATIONAL FINVES,538180,
INE204Y01010,Sanghvi Brands Limited ,540782,
INE208U01019,Octaware Technologies Limited ,540416,
INE210A01017,WILLIAMSON MAGOR & COMPANY LTD,519224,WILLAMAGOR
INE212P01011,CHEMTECH INDUSTRIAL VALVES LTD,537326,
INE213S01013,SAI INDUSTRIES LTD.    ,530905,
INE215B01022,ORCHASP LIMITED ,532271,
INE216B01012,YASH MANAGEMENT & SATELLITE LT,511601,
INE216I01017,NEO INFRACON LTD.      ,514332,
INE218A01028,K-LIFESTYLE & INDUSTRIES LIMIT,514221,
INE219A01026,KSL AND INDUSTRIES LTD.,530149,
INE219M01021,VANDANA KNITWEAR LTD.  ,532090,
INE222B01028,QUANTUM BUILD-TECH LTD ,538596,
INE222U01010,Golden Crest Education & Servi,540062,
INE223P01026,KAUSAMBI VANIJYA LTD   ,538295,
INE224D01012,SUNIL AGRO FOODS LTD.  ,530953,
INE224E01028,STAMPEDE CAPITAL LIMITED      ,531723,STAMPEDE
INE227B01019,HIND ALUMINIUM INDUSTRIES LTD.,531979,
INE228E01011,CHITRAKUT HOLDINGS LTD ,203768,
INE229D01011,RR FINANCIAL CONSULTANTS LTD. ,511626,
INE230I01018,Hawa Engineers ltd.    ,539176,
INE232L01018,My Money Securities Ltd.      ,538862,
INE233C01023,PRIME PROPERTY DEVELOPMENT COR,530695,
INE234G01022,TRIO MERCANTILE & TRADING LTD.,534755,
INE240T01014,Parmax Pharma Limited  ,540359,
INE241F01011,FUTURISTIC SOLUTIONS LTD.     ,534063,
